cal_date,is_open,pretrade_date
20210314,0,20210311
20210313,0,20210311
20210312,1,20210311
20210311,1,20210310
20210310,1,20210309
20210309,1,20210308
20210308,1,20210305
20210307,0,20210304
20210306,0,20210304
20210305,1,20210304
20210304,1,20210303
20210303,1,20210302
20210302,1,20210301
20210301,1,20210226
20210228,0,20210225
20210227,0,20210225
20210226,1,20210225
20210225,1,20210224
20210224,1,20210223
20210223,1,20210222
20210222,1,20210219
20210221,0,20210218
20210220,0,20210218
20210219,1,20210218
20210218,1,20210217
20210217,1,20210216
20210216,1,20210211
20210215,0,20210210
20210214,0,20210210
20210213,0,20210210
20210212,0,20210210
20210211,1,20210210
20210210,1,20210209
20210209,1,20210208
20210208,1,20210205
20210207,0,20210204
20210206,0,20210204
20210205,1,20210204
20210204,1,20210203
20210203,1,20210202
20210202,1,20210201
20210201,1,20210129
20210131,0,20210128
20210130,0,20210128
20210129,1,20210128
20210128,1,20210127
20210127,1,20210126
20210126,1,20210125
20210125,1,20210122
20210124,0,20210121
20210123,0,20210121
20210122,1,20210121
20210121,1,20210120
20210120,1,20210119
20210119,1,20210118
20210118,1,20210115
20210117,0,20210114
20210116,0,20210114
20210115,1,20210114
20210114,1,20210113
20210113,1,20210112
20210112,1,20210111
20210111,1,20210108
20210110,0,20210107
20210109,0,20210107
20210108,1,20210107
20210107,1,20210106
20210106,1,20210105
20210105,1,20210104
20210104,1,20201231
20210103,0,20201230
20210102,0,20201230
20210101,0,20201230
20201231,1,20201230
20201230,1,20201229
20201229,1,20201228
20201228,1,20201224
20201227,0,20201223
20201226,0,20201223
20201225,0,20201223
20201224,1,20201223
20201223,1,20201222
20201222,1,20201221
20201221,1,20201218
20201220,0,20201217
20201219,0,20201217
20201218,1,20201217
20201217,1,20201216
20201216,1,20201215
20201215,1,20201214
20201214,1,20201211
20201213,0,20201210
20201212,0,20201210
20201211,1,20201210
20201210,1,20201209
20201209,1,20201208
20201208,1,20201207
20201207,1,20201204
20201206,0,20201203
20201205,0,20201203
20201204,1,20201203
20201203,1,20201202
20201202,1,20201201
20201201,1,20201130
20201130,1,20201127
20201129,0,20201126
20201128,0,20201126
20201127,1,20201126
20201126,1,20201125
20201125,1,20201124
20201124,1,20201123
20201123,1,20201120
20201122,0,20201119
20201121,0,20201119
20201120,1,20201119
20201119,1,20201118
20201118,1,20201117
20201117,1,20201116
20201116,1,20201113
20201115,0,20201112
20201114,0,20201112
20201113,1,20201112
20201112,1,20201111
20201111,1,20201110
20201110,1,20201109
20201109,1,20201106
20201108,0,20201105
20201107,0,20201105
20201106,1,20201105
20201105,1,20201104
20201104,1,20201103
20201103,1,20201102
20201102,1,20201030
20201101,0,20201029
20201031,0,20201029
20201030,1,20201029
20201029,1,20201028
20201028,1,20201027
20201027,1,20201023
20201026,0,20201022
20201025,0,20201022
20201024,0,20201022
20201023,1,20201022
20201022,1,20201021
20201021,1,20201020
20201020,1,20201019
20201019,1,20201016
20201018,0,20201015
20201017,0,20201015
20201016,1,20201015
20201015,1,20201014
20201014,1,20201013
20201013,1,20201012
20201012,1,20201009
20201011,0,20201008
20201010,0,20201008
20201009,1,20201008
20201008,1,20201007
20201007,1,20201006
20201006,1,20201005
20201005,1,20200930
20201004,0,20200929
20201003,0,20200929
20201002,0,20200929
20201001,0,20200929
20200930,1,20200929
20200929,1,20200928
20200928,1,20200925
20200927,0,20200924
20200926,0,20200924
20200925,1,20200924
20200924,1,20200923
20200923,1,20200922
20200922,1,20200921
20200921,1,20200918
20200920,0,20200917
20200919,0,20200917
20200918,1,20200917
20200917,1,20200916
20200916,1,20200915
20200915,1,20200914
20200914,1,20200911
20200913,0,20200910
20200912,0,20200910
20200911,1,20200910
20200910,1,20200909
20200909,1,20200908
20200908,1,20200907
20200907,1,20200904
20200906,0,20200903
20200905,0,20200903
20200904,1,20200903
20200903,1,20200902
20200902,1,20200901
20200901,1,20200831
20200831,1,20200828
20200830,0,20200827
20200829,0,20200827
20200828,1,20200827
20200827,1,20200826
20200826,1,20200825
20200825,1,20200824
20200824,1,20200821
20200823,0,20200820
20200822,0,20200820
20200821,1,20200820
20200820,1,20200819
20200819,1,20200818
20200818,1,20200817
20200817,1,20200814
20200816,0,20200813
20200815,0,20200813
20200814,1,20200813
20200813,1,20200812
