ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
06828.HK,北京燃气蓝天,北京燃气蓝天控股有限公司,Beijing Gas Blue Sky Holdings Limited,BJRQLT,主板,L,20110712,,8000.0,BMG095871098,HKD
06829.HK,龙升集团控股,龙升集团控股有限公司,Dragon Rise Group Holdings Limited,LSJTKG,主板,L,20180208,,10000.0,KYG2831B1095,HKD
06830.HK,华众车载,华众车载控股有限公司,Huazhong In-Vehicle Holdings Company Limited,HZCZ,主板,L,20120112,,2000.0,KYG4657L1041,HKD
06833.HK,兴科蓉医药,兴科蓉医药控股有限公司,Sinco Pharmaceuticals Holdings Limited,XKRYY,主板,L,20160310,,4000.0,KYG8154Y1052,HKD
06836.HK,天韵国际控股,天韵国际控股有限公司,Tianyun International Holdings Limited,TYGJKG,主板,L,20150707,,2000.0,VGG8880B1067,HKD
06837.HK,海通证券,海通证券股份有限公司,"Haitong Securities Co.,Ltd.",HTZQ,主板,L,20120427,,400.0,CNE1000019K9,HKD
06838.HK,盈利时,盈利时控股有限公司,Winox Holdings Limited,YLS,主板,L,20110720,,2000.0,KYG971741098,HKD
06839.HK,云南水务,云南水务投资股份有限公司,"Yunnan Water Investment Co., Limited",YNSW,主板,L,20150527,,1000.0,CNE100001WB5,HKD
06855.HK,亚盛医药-B,亚盛医药集团,Ascentage Pharma Group International,YSYY-B,主板,L,20191028,,100.0,KYG0519B1023,HKD
06858.HK,本间高尔夫,本间高尔夫有限公司,Honma Golf Limited,BJGEF,主板,L,20161006,,500.0,KYG459461037,HKD
06860.HK,指尖悦动,指尖悦动控股有限公司,FingerTango Inc.,ZJYD,主板,L,20180712,,1000.0,KYG3R10G1007,HKD
06862.HK,海底捞,海底捞国际控股有限公司,Haidilao International Holding Ltd.,HDL,主板,L,20180926,,1000.0,KYG4290A1013,HKD
06865.HK,福莱特玻璃,福莱特玻璃集团股份有限公司,"Flat Glass Group Co., Ltd.",FLTBL,主板,L,20151126,,1000.0,CNE100002375,HKD
06866.HK,佐力小贷,佐力科创小额贷款股份有限公司,Zuoli Kechuang Micro-nance Company Limited,ZLXD,主板,L,20150113,,2000.0,CNE100001TL0,HKD
06868.HK,天福,天福(开曼)控股有限公司,Tenfu (Cayman) Holdings Company Limited,TF,主板,L,20110926,,1000.0,KYG875941000,HKD
06869.HK,长飞光纤光缆,长飞光纤光缆股份有限公司,Yangtze Optical Fibre and Cable Joint Stock Limited Company,CFGXGL,主板,L,20141210,,500.0,CNE100001T72,HKD
06877.HK,CLSA PREMIUM,昆仑国际金融集团有限公司,CLSA Premium Limited,CLSAPREMIU,主板,L,20171215,,5000.0,KYG898871069,HKD
06878.HK,鼎丰集团控股,鼎丰集团控股有限公司,Differ Group Holding Company Limited,DFJTKG,主板,L,20150706,,2000.0,KYG2760V1005,HKD
06880.HK,腾邦控股,腾邦控股有限公司,Tempus Holdings Limited,TBKG,主板,L,20111213,,2000.0,KYG8756N1016,HKD
06881.HK,中国银河,中国银河证券股份有限公司,"China Galaxy Securities Co., Ltd.",ZGYH,主板,L,20130522,,500.0,CNE100001NT6,HKD
06882.HK,东瀛游,东瀛游控股有限公司,EGL Holdings Company Limited,DYY,主板,L,20141128,,2000.0,KYG3089V1023,HKD
06885.HK,金马能源,河南金马能源股份有限公司,Henan Jinma Energy Company Limited,JMNY,主板,L,20171010,,1000.0,CNE100002QZ4,HKD
06886.HK,HTSC,华泰证券股份有限公司,"Huatai Securities Co., Ltd.",HTSC,主板,L,20150601,,200.0,CNE100001YQ9,HKD
06888.HK,英达公路再生科技,英达公路再生科技(集团)有限公司,Freetech Road Recycling Technology (Holdings) Limited,YDGLZSKJ,主板,L,20130626,,1000.0,KYG3728H1002,HKD
06889.HK,DYNAM JAPAN,"DYNAM JAPAN HOLDINGS Co., Ltd.","DYNAM JAPAN HOLDINGS Co., Ltd.",DYNAMJAPAN,主板,L,20120806,,200.0,JP3491910000,HKD
06890.HK,康利国际控股,康利国际控股有限公司,KangLi International Holdings Limited,KLGJKG,主板,L,20181119,,2000.0,KYG521551013,HKD
06893.HK,衍生集团,衍生集团(国际)控股有限公司,Hin Sang Group (International) Holding Co. Ltd.,YSJT,主板,L,20141016,,2000.0,KYG4590V1023,HKD
06896.HK,金嗓子,金嗓子控股集团有限公司,Golden Throat Holdings Group Company Limited,JSZ,主板,L,20150715,,500.0,KYG3961J1022,HKD
06898.HK,中国铝罐,中国铝罐控股有限公司,China Aluminum Cans Holdings Limited,ZGLG,主板,L,20130712,,2000.0,KYG211551091,HKD
06899.HK,联众,联众国际控股有限公司,Ourgame International Holdings Ltd.,LZ,主板,L,20140630,,1000.0,KYG6847M1087,HKD
06908.HK,宏光照明,宏光照明控股有限公司,HongGuang Lighting Holdings Co. Ltd.,HGZM,主板,L,20191113,,5000.0,KYG4644A1040,HKD
06919.HK,人瑞人才,人瑞人才科技控股有限公司,Renrui Human Resources Technology Holdings Limited,RRRC,主板,L,20191213,,100.0,KYG7504A1067,HKD
06928.HK,TOMO HOLDINGS,TOMO Holdings Limited,TOMO Holdings Limited,TOMOHOLDIN,主板,L,20191223,,4000.0,KYG8955R1011,HKD
06966.HK,中国万桐园,中国万桐园(控股)有限公司,China Wan Tong Yuan (Holdings) Limited,ZGWTY,主板,L,20191217,,10000.0,KYG215AA1032,HKD
08001.HK,东方汇财证券,东方汇财证券国际控股有限公司,Orient Securities International Holdings Ltd.,DFHCZQ,创业板,L,20140115,,4000.0,KYG6805Q1091,HKD
08003.HK,世大控股,世大控股有限公司,Great World Holdings Ltd.,SDKG,创业板,L,19991202,,2000.0,KYG4158M1069,HKD
08005.HK,裕兴科技,裕兴科技投资控股有限公司,Yuxing InfoTech Investment Holdings Limited,YXKJ,创业板,L,20000131,,2000.0,BMG9883P1344,HKD
08006.HK,华泰瑞银,中国华泰瑞银控股有限公司,Sino Splendid Holdings Limited,HTRY,创业板,L,20000309,,10000.0,KYG816BP1201,HKD
08007.HK,环球战略集团,环球战略集团有限公司,Global Strategic Group Limited,HQZLJT,创业板,L,20000417,,10000.0,KYG3947G1230,HKD
08009.HK,华夏能源控股,华夏能源控股有限公司,Chinese Energy Holdings Limited,HXNYKG,创业板,L,20000331,,5000.0,HK0000464021,HKD
08011.HK,百田石油,百田石油国际集团有限公司,Polyard Petroleum International Group Limited,BTSY,创业板,L,20020712,,20000.0,KYG7159B1775,HKD
08013.HK,ECI TECH,ECI Technology Holdings Limited,ECI Technology Holdings Limited,ECITECH,创业板,L,20170310,,20000.0,,HKD
08016.HK,长虹佳华,长虹佳华控股有限公司,Changhong Jiahua Holding Limited,CHJH,创业板,L,20000124,,2000.0,BMG2042K1045,HKD
08017.HK,捷利交易宝,捷利交易宝金融科技有限公司,Tradego Fintech Limited,JLJYB,创业板,L,20180928,,4000.0,KYG8985W1042,HKD
08018.HK,汇财金融投资,汇财金融投资控股有限公司,Finsoft Financial Investment Holdings Limited,HCJRTZ,创业板,L,20130926,,10000.0,KYG3461G1525,HKD
08019.HK,皓文控股,皓文控股有限公司,Hao Wen Holdings Limited,HWKG,创业板,L,20010720,,20000.0,KYG4286Q1441,HKD
08020.HK,宏海控股集团,宏海控股集团有限公司,Unitas Holdings Limited,HHKGJT,创业板,L,20111012,,10000.0,KYG9345D1097,HKD
08021.HK,汇隆控股,汇隆控股有限公司,WLS Holdings Limited,HLKG,创业板,L,20011207,,10000.0,BMG9726D1323,HKD
08022.HK,永耀集团控股,永耀集团控股有限公司,Evershine Group Holdings Limited,YYJTKG,创业板,L,20010813,,3000.0,HK0000124617,HKD
08023.HK,邝文记,邝文记集团有限公司,Kwong Man Kee Group Limited,KWJ,创业板,L,20161013,,6000.0,KYG532951046,HKD
08025.HK,亚洲资产,亚洲资产(控股)有限公司,Asian Capital Resources (Holdings) Limited,YZZC,创业板,L,19991216,,2000.0,KYG0542K1031,HKD
08026.HK,朗华国际集团,朗华国际集团有限公司,China Brilliant Global Limited,LHGJJT,创业板,L,20000328,,1000.0,KYG211AJ1037,HKD
08027.HK,吉辉控股,吉辉控股有限公司,KPM Holding Ltd.,JHKG,创业板,L,20150710,,5000.0,KYG5314U1067,HKD
