ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
02919AL.HK,环球饮食(旧),环球饮食(旧),,HQYSJ,主板,D,20020225,20020403,100.0,,HKD
02919AM.HK,鸿宝资源,鸿宝资源,,HBZY,主板,D,20180112,20180215,20000.0,,HKD
02919AN.HK,廣興國際控股-舊,廣興國際控股-舊,,GXGJKGJ,主板,D,20030319,20030425,2000.0,,HKD
02919AO.HK,康健国际,康健国际,,KJGJ,主板,D,20090525,20090629,100.0,,HKD
02919AP.HK,贵联控股,贵联控股,,GLKG,主板,D,20130611,20130717,4000.0,,HKD
02919AQ.HK,中滔环保,中滔环保,,ZTHB,主板,D,20150722,20150825,8000.0,,HKD
02920.HK,COSMOPOL INT'L,COSMOPOL INT'L,,COSMOPOLIN,主板,D,20140715,20140818,2000.0,,HKD
02920.HK,中芯国际,中芯国际,,ZXGJ,主板,D,20161207,20170113,100.0,KYG8020E1272,HKD
02920.HK,中国海外宏洋股权,中国海外宏洋股权,,ZGHWHYGQ,主板,D,20180116,20180123,1000.0,,HKD
02920.HK,保利达资产股权,保利达资产股权,,BLDZCGQ,主板,D,20040601,20040610,5000.0,,HKD
02920AE.HK,互联控股,互联控股,,HLKG,主板,D,20000815,20000919,400.0,,HKD
02920AF.HK,民丰企业,民丰企业,,MFQY,主板,D,20120719,20120822,4000.0,,HKD
02920AG.HK,大中华实业,大中华实业,,DZHSY,主板,D,20030320,20030428,40.0,,HKD
02920AH.HK,中国粗粮王饮品,中国粗粮王饮品,,ZGCLWYP,主板,D,20151125,20151230,1200.0,,HKD
02920AI.HK,亚太资源股权,亚太资源股权,,YTZYGQ,主板,D,20190402,20190410,20000.0,BMG0403V1312,HKD
02920AJ.HK,天大石油管材,天大石油管材,,TDSYGC,主板,D,20080415,20080507,2000.0,,HKD
02920AK.HK,先健科技,先健科技,,XJKJ,主板,D,20150112,20150213,16000.0,,HKD
02920AL.HK,天马影视,天马影视,,TMYS,主板,D,20150722,20150825,16000.0,,HKD
02921.HK,中洲控股,中洲控股,,ZZKG,主板,D,20040531,20040707,40000.0,,HKD
02921.HK,中国管业,中国管业,,ZGGY,主板,D,20150119,20150224,2000.0,,HKD
02921.HK,SUN MAN TAI,SUN MAN TAI,,SUNMANTAI,主板,D,20080422,20080529,3125.0,,HKD
02921.HK,英皇(中国),英皇(中国),,YHZG,主板,D,20030331,20030509,500.0,,HKD
02921AE.HK,中国国家文化产业,中国国家文化产业,,ZGGJWHCY,主板,D,20150724,20150827,1000.0,,HKD
02921AF.HK,国际资源,国际资源,,GJZY,主板,D,20090601,20090706,1000.0,,HKD
02921AG.HK,蒙古矿业,蒙古矿业,,MGKY,主板,D,20110602,20110708,500.0,,HKD
02921AH.HK,渣打集团股权,渣打集团股权,,ZDJTGQ,主板,D,20151125,20151207,50.0,,HKD
02921AI.HK,裕华能源,裕华能源,,YHNY,主板,D,20180117,20180222,8000.0,,HKD
